school,id,semester,urm_status,years_from_phd,repec_owndept,repec_semdept,phd_program,census_region
5b50fcc8154085b41a73d57f820251e7,88ac1392e9e0c2ac81e1a9d72fcf648c,2018-01-01,Non-URM female,18,11-25,11-25,1,
5b50fcc8154085b41a73d57f820251e7,116599d35a0fad4843502ef61d5b24d5,2019-01-01,Non-URM male,19,26-50,11-25,1,
5b50fcc8154085b41a73d57f820251e7,05ac062b03fcffb983d8c9b0c59e78e7,2014-08-01,Non-URM female,12,1-10,11-25,1,
060ed1d6669f9354439f02f85fb02035,2f89c7cd6227ce766a38d435d8a053d5,2018-08-01,Non-URM male,3,101-289,101-289,1,
060ed1d6669f9354439f02f85fb02035,1aba91f655e4a122d1f44691c51cd354,2016-01-01,Non-URM female,18,11-25,101-289,1,
060ed1d6669f9354439f02f85fb02035,5319a62ee563cb5f4d95259fabfc9094,2017-01-01,Non-URM male,0,11-25,101-289,1,
060ed1d6669f9354439f02f85fb02035,84952242768dcd3a2ca1dc1e16fd8238,2019-01-01,Non-URM male,6,1-10,101-289,1,
060ed1d6669f9354439f02f85fb02035,c59c2da8f2ea3cb7cd5589ef7a5a8eb2,2019-01-01,Non-URM male,1,1-10,101-289,1,
f5fbc75f00dda39fb44e5010bbc74571,9fe8610fd0c2f759bfe950195b01a6b9,2018-01-01,Non-URM male,11,101-289,26-50,1,Northeast
f5fbc75f00dda39fb44e5010bbc74571,6a46cc070b65c5d627c8582eca8f54cf,2016-01-01,Non-URM male,17,Unranked,26-50,1,Northeast
f5fbc75f00dda39fb44e5010bbc74571,4408592ea0a369ba1e04085c2ba7138a,2019-08-01,Non-URM male,23,1-10,26-50,1,Northeast
f5fbc75f00dda39fb44e5010bbc74571,9444fe8e5f5c595060b8c8e3605fd96a,2015-08-01,Non-URM male,15,Unranked,26-50,1,Northeast
fb67a91161566f5b8e8f72903547124d,e0733ced5e0f1695762a67b49c6823fe,2019-08-01,Non-URM female,6,11-25,11-25,1,Northeast
fb67a91161566f5b8e8f72903547124d,13e973115219c56601491572dc662de4,2018-01-01,Non-URM male,9,1-10,11-25,1,Northeast
fb67a91161566f5b8e8f72903547124d,0a12edf70acae12462aea498ec4bc4c7,2018-01-01,Non-URM female,1,26-50,11-25,1,Northeast
fb67a91161566f5b8e8f72903547124d,f1a92b367c4ecc7bb1720a823e726054,2014-08-01,Non-URM male,7,101-289,11-25,1,Northeast
fe78a453ab1cc1b4e76ae03a0e518200,7a2d7feb0e649f073f648563cc3c67ab,2018-01-01,URM male,4,1-10,101-289,0,Northeast
6851e20c36507d8fdafd117012aeb401,aca370bca8d22349c50e7f40d1b61326,2019-08-01,Non-URM male,7,51-100,Unranked,0,West
6851e20c36507d8fdafd117012aeb401,9598f4f4bb3a33b692e511156be6f742,2014-08-01,Non-URM male,3,51-100,Unranked,0,West
00ec79400d397e7414b9ca7dc7bd95bd,39891b289bec083ed5eae643f9f1979c,2017-01-01,Non-URM female,8,51-100,51-100,0,West
00ec79400d397e7414b9ca7dc7bd95bd,52b491f63cbb605118ee08a2a1169359,2016-01-01,Non-URM male,0,11-25,51-100,0,West
00ec79400d397e7414b9ca7dc7bd95bd,490c2ff5b41404cc8d3f6486893b9226,2016-01-01,Non-URM male,49,26-50,51-100,0,West
1bc18cc767a786647138b76c01033fa5,a4587addb630cc599593fa0e8b966a19,2018-08-01,Non-URM male,0,Unranked,101-289,0,West
